Country;YEAR;Total;Petroleum products;Liquefied petroleum gases (LPG);Diesel;Natural gas;Electricity;Alternative energy;Petrol (excluding hybrids)  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric  ;Diesel (excluding hybrids)  ;Hybrid diesel-electric;Plug-in hybrid diesel-electric  ;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Denmark;2014;188 406;127 253;0;59 545;43;1 564;1 608;127 172;:;81;59 544;:;1;1;:;:;:;:
Finland;2014;106 235;64 181;0;41 404;37;183;650;61 733;2 236;212;41 278;75;51;0;344;0;86;0
Sweden;2014;324 030;126 019;0;188 998;1 602;1 266;9 013;116 519;6 798;2 702;188 028;261;709;0;4;0;3 419;2 722
Norway;2014;149 963;54 912;:;76 478;:;18 091;18 573;:;:;1 684;:;:;:;4;:;:;:;478
Denmark;2015;206 653;138 104;0;64 203;36;1 265;1 315;137 698;:;406;64 203;:;0;14;:;:;:;:
Finland;2015;108 819;69 469;0;38 844;18;243;506;66 252;2 817;400;38 800;29;15;0;105;0;140;0
Sweden;2015;361 908;145 383;0;207 091;886;2 916;9 434;131 576;8 634;5 173;206 377;135;579;1;3;1;4 231;1 396
Norway;2015;158 577;55 671;:;76 985;:;25 779;25 942;:;:;7 982;:;:;:;9;:;:;:;154
Denmark;2016;222 469;140 938;0;80 216;36;1 265;1 315;140 371;:;567;80 211;:;5;14;:;:;:;:
Finland;2016;119 000;79 042;0;39 556;38;223;402;73 258;4 668;1 116;39 452;11;93;0;14;0;127;0
Sweden;2016;387 997;177 903;0;202 383;499;2 993;7 711;155 318;13 621;8 964;201 040;17;1 326;19;1;0;3 311;888
Norway;2016;160 404;82 910;:;53 516;5;24 222;24 257;45 894;17 372;19 644;52 313;91;1 112;23;:;:;:;7
Denmark;2017;221 473;143 227;0;77 493;47;691;753;142 607;:;620;77 492;:;1;15;:;:;:;:
Finland;2017;118 587;81 435;0;36 216;65;502;936;70 522;8 512;2 401;36 062;2;152;0;1;:;368;0
Sweden;2017;392 717;191 048;0;192 191;781;4 359;9 477;157 794;18 380;14 874;191 059;17;1 115;14;0;0;3 190;1 133
Norway;2017;167 692;90 074;:;44 498;37;33 023;33 120;42 492;20 805;26 777;42 015;28;2 455;55;:;:;:;5
Denmark;2018;218 475;144 443;0;72 475;7;1 544;1 557;141 318;:;3 125;72 474;:;1;6;:;:;:;:
Finland;2018;120 505;89 497;0;29 071;182;776;1 937;73 069;11 631;4 797;28 712;224;135;0;0;:;979;0
Sweden;2018;365 513;215 360;0;138 666;592;7 147;11 487;173 813;21 006;20 541;137 387;9;1 270;5;4;0;2 696;1 043
Norway;2018;158 837;78 323;0;34 305;60;46 091;46 209;36 392;17 237;24 694;32 340;85;1 880;50;0;0;0;8
Denmark;2019;225 620;159 630;0;60 475;6;5 501;5 515;155 863;:;3 767;60 362;:;113;8;0;0;0;0
Finland;2019;114 202;88 141;0;22 022;2 135;1 897;4 039;67 751;14 582;5 808;20 873;990;159;0;0;:;7;0
Sweden;2019;366 946;221 280;0;123 708;4 535;15 795;21 958;169 199;28 089;23 992;117 760;56;913;2;3;0;436;1 187
Norway;2019;148 682;59 964;0;28 398;17;60 271;60 320;23 294;18 356;18 314;26 871;550;977;29;0;0;0;3
Denmark;2019;198 979;138 421;0;46 295;0;14 218;14 263;111 259;9 415;17 747;44 709;1 098;488;45;0;0;0;0
Finland;2020;96 418;75 765;0;14 567;1 841;4 245;6 086;45 596;17 373;12 796;12 778;1 354;435;0;0;:;:;:
